Date,Crime Type,Crime Description,District,Ward,Latitude,Longitude,Location,Arrest,Year
2016-04-03 19:00:00,CRIMINAL DAMAGE,TO VEHICLE,3.0,5.0,41.772372122,-87.58383609999998,"(41.772372122, -87.5838361)",False,2016
2016-07-25 19:15:00,ROBBERY,ARMED: HANDGUN,2.0,4.0,41.805869465,-87.585195364,"(41.805869465, -87.585195364)",False,2016
2016-10-31 17:00:00,BURGLARY,UNLAWFUL ENTRY,12.0,25.0,41.861637423000005,-87.65485686,"(41.861637423, -87.65485686)",False,2016
2016-04-05 18:30:00,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,18.0,43.0,41.924588666,-87.638077007,"(41.924588666, -87.638077007)",False,2016
2016-03-12 21:58:00,ASSAULT,AGGRAVATED: HANDGUN,12.0,25.0,41.856708596,-87.67943325200001,"(41.856708596, -87.679433252)",True,2016
2016-11-16 15:00:00,BURGLARY,UNLAWFUL ENTRY,8.0,23.0,41.803195781999996,-87.750371795,"(41.803195782, -87.750371795)",False,2016
2016-03-04 14:40:00,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,25.0,30.0,41.914484226999996,-87.724031146,"(41.914484227, -87.724031146)",False,2016
2016-12-31 22:24:00,NARCOTICS,POSS: HEROIN(WHITE),12.0,27.0,41.885439152,-87.70267309200001,"(41.885439152, -87.702673092)",True,2016
2016-01-18 21:10:00,CRIMINAL DAMAGE,TO PROPERTY,3.0,5.0,41.77077466,-87.58379237700001,"(41.77077466, -87.583792377)",False,2016
2016-07-17 07:30:00,BURGLARY,UNLAWFUL ENTRY,2.0,5.0,41.79240582,-87.58896401700001,"(41.79240582, -87.588964017)",False,2016
2016-05-30 10:06:00,CRIMINAL DAMAGE,TO VEHICLE,6.0,21.0,41.745865951,-87.656040511,"(41.745865951, -87.656040511)",False,2016
2016-06-12 01:00:00,THEFT,OVER $500,17.0,33.0,41.950889938,-87.710380552,"(41.950889938, -87.710380552)",False,2016
2016-05-20 09:00:00,THEFT,$500 AND UNDER,7.0,15.0,41.779426678,-87.66600456299999,"(41.779426678, -87.666004563)",False,2016
2016-10-01 20:45:00,DECEPTIVE PRACTICE,FORGERY,19.0,32.0,41.931628290999996,-87.677371311,"(41.931628291, -87.677371311)",False,2016
2016-04-27 19:01:00,BURGLARY,UNLAWFUL ENTRY,25.0,37.0,41.904541869,-87.75972921700001,"(41.904541869, -87.759729217)",True,2016
2016-07-23 14:30:00,THEFT,OVER $500,12.0,1.0,41.903304304,-87.670064675,"(41.903304304, -87.670064675)",False,2016
2016-12-16 21:00:00,CRIMINAL DAMAGE,TO PROPERTY,9.0,12.0,41.811359573000004,-87.69307439299999,"(41.811359573, -87.693074393)",False,2016
2016-10-14 18:30:00,BATTERY,SIMPLE,17.0,33.0,41.947941997,-87.710765825,"(41.947941997, -87.710765825)",True,2016
2016-03-20 20:00:00,CRIMINAL DAMAGE,TO PROPERTY,14.0,26.0,41.904651513000005,-87.70818165,"(41.904651513, -87.70818165)",False,2016
2016-10-09 15:00:00,BURGLARY,FORCIBLE ENTRY,6.0,18.0,41.745885025999996,-87.670606425,"(41.745885026, -87.670606425)",False,2016
2016-08-07 02:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,24.0,49.0,42.003051855,-87.66079942299999,"(42.003051855, -87.660799423)",False,2016
2016-01-13 08:00:00,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,16.0,38.0,41.951896008,-87.807235367,"(41.951896008, -87.807235367)",False,2016
2016-05-29 21:00:00,THEFT,FROM BUILDING,12.0,1.0,41.901138962,-87.69325089600001,"(41.901138962, -87.693250896)",False,2016
2016-07-13 20:00:00,THEFT,OVER $500,25.0,31.0,41.921349686999996,-87.73645532399999,"(41.921349687, -87.736455324)",False,2016
2016-02-11 15:52:00,CRIMINAL DAMAGE,TO PROPERTY,5.0,9.0,41.675571443,-87.626195045,"(41.675571443, -87.626195045)",False,2016
2016-03-04 01:00:00,THEFT,$500 AND UNDER,1.0,2.0,41.858643312,-87.6239505,"(41.858643312, -87.6239505)",False,2016
2016-07-28 17:15:00,THEFT,RETAIL THEFT,1.0,2.0,41.865397377,-87.64066077700001,"(41.865397377, -87.640660777)",False,2016
2016-10-24 00:07:00,CRIMINAL DAMAGE,TO PROPERTY,4.0,8.0,41.750765797,-87.58166146200001,"(41.750765797, -87.581661462)",False,2016
2016-11-16 08:30:00,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,3.0,6.0,41.765035962,-87.616852478,"(41.765035962, -87.616852478)",False,2016
2016-07-26 05:15:00,CRIMINAL TRESPASS,TO VEHICLE,6.0,21.0,41.72164732,-87.629543628,"(41.72164732, -87.629543628)",False,2016
2016-12-28 14:00:00,CRIMINAL TRESPASS,TO RESIDENCE,10.0,24.0,41.852477533000005,-87.716240201,"(41.852477533, -87.716240201)",False,2016
2016-08-09 22:30:00,ASSAULT,SIMPLE,6.0,18.0,41.742084508000005,-87.666871364,"(41.742084508, -87.666871364)",False,2016
2016-03-16 18:42:00,ROBBERY,STRONGARM - NO WEAPON,11.0,28.0,41.886491131,-87.74365108200001,"(41.886491131, -87.743651082)",False,2016
2016-02-27 22:00:00,THEFT,$500 AND UNDER,25.0,36.0,41.913339055,-87.79002711700001,"(41.913339055, -87.790027117)",False,2016
2016-05-30 12:15:00,OTHER OFFENSE,PAROLE VIOLATION,7.0,17.0,41.766349253,-87.66021283299999,"(41.766349253, -87.660212833)",True,2016
2016-07-09 05:54:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,4.0,10.0,41.723267549,-87.536808254,"(41.723267549, -87.536808254)",True,2016
2016-11-30 21:20:00,BATTERY,DOMESTIC BATTERY SIMPLE,11.0,2.0,41.873760261,-87.699795456,"(41.873760261, -87.699795456)",True,2016
2016-12-14 12:54:00,ASSAULT,SIMPLE,7.0,17.0,41.760815047,-87.663679385,"(41.760815047, -87.663679385)",False,2016
2016-06-20 12:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,14.0,1.0,41.921997915,-87.69276687600001,"(41.921997915, -87.692766876)",False,2016
2016-05-08 02:00:00,CRIMINAL DAMAGE,TO VEHICLE,19.0,46.0,41.947411151,-87.643798819,"(41.947411151, -87.643798819)",False,2016
2016-07-24 15:30:00,CRIMINAL TRESPASS,TO VEHICLE,2.0,3.0,41.810128966,-87.622861059,"(41.810128966, -87.622861059)",True,2016
2016-05-20 09:26:00,CRIMINAL DAMAGE,TO VEHICLE,4.0,10.0,41.741957946999996,-87.54420982399999,"(41.741957947, -87.544209824)",False,2016
2016-05-26 12:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,7.0,16.0,41.78076233,-87.663035583,"(41.78076233, -87.663035583)",False,2016
2016-03-08 08:00:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,19.0,44.0,41.93512615,-87.639384889,"(41.93512615, -87.639384889)",False,2016
2016-08-26 22:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,24.0,49.0,42.008481155,-87.666195205,"(42.008481155, -87.666195205)",False,2016
2016-12-07 14:30:00,BURGLARY,HOME INVASION,8.0,18.0,41.76044519,-87.684351634,"(41.76044519, -87.684351634)",False,2016
2016-02-07 16:18:00,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,1.0,2.0,41.872925218,-87.63257892,"(41.872925218, -87.63257892)",False,2016
2016-07-22 12:30:00,THEFT,$500 AND UNDER,7.0,20.0,41.779967595,-87.631513079,"(41.779967595, -87.631513079)",False,2016
2016-10-24 21:00:00,THEFT,$500 AND UNDER,12.0,26.0,41.890995133000004,-87.666056556,"(41.890995133, -87.666056556)",False,2016
2016-05-21 17:40:00,BATTERY,SIMPLE,1.0,2.0,41.867486124,-87.622310774,"(41.867486124, -87.622310774)",False,2016
2016-08-02 19:45:00,CRIMINAL DAMAGE,TO VEHICLE,4.0,7.0,41.758238491,-87.571242275,"(41.758238491, -87.571242275)",False,2016
2016-05-23 19:00:00,BURGLARY,UNLAWFUL ENTRY,9.0,12.0,41.829260387,-87.696018526,"(41.829260387, -87.696018526)",False,2016
2016-12-19 22:03:00,BATTERY,DOMESTIC BATTERY SIMPLE,7.0,16.0,41.77530316,-87.64710087899999,"(41.77530316, -87.647100879)",False,2016
2016-08-01 12:00:00,THEFT,$500 AND UNDER,25.0,37.0,41.902283133000005,-87.752586366,"(41.902283133, -87.752586366)",False,2016
2016-08-11 13:06:00,THEFT,$500 AND UNDER,8.0,23.0,41.80899069,-87.743184936,"(41.80899069, -87.743184936)",False,2016
2016-04-07 12:45:00,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,5.0,34.0,41.67198685,-87.629693199,"(41.67198685, -87.629693199)",True,2016
2016-10-27 01:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,6.0,17.0,41.757553054,-87.638427814,"(41.757553054, -87.638427814)",False,2016
2016-08-26 21:00:00,CRIMINAL DAMAGE,TO VEHICLE,8.0,16.0,41.784164831999995,-87.705712509,"(41.784164832, -87.705712509)",False,2016
2016-05-21 11:00:00,CRIM SEXUAL ASSAULT,PREDATORY,8.0,18.0,41.754816353,-87.702535145,"(41.754816353, -87.702535145)",False,2016
2016-08-29 19:00:00,THEFT,OVER $500,20.0,40.0,41.977831722,-87.680593445,"(41.977831722, -87.680593445)",False,2016
2016-07-06 20:00:00,THEFT,$500 AND UNDER,25.0,31.0,41.922388944,-87.74910436,"(41.922388944, -87.74910436)",False,2016
2016-08-15 08:18:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,18.0,42.0,41.900860447,-87.632842923,"(41.900860447, -87.632842923)",False,2016
2016-09-09 01:00:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,9.0,16.0,41.802549018,-87.667246428,"(41.802549018, -87.667246428)",True,2016
2016-08-31 21:36:00,CRIMINAL TRESPASS,TO STATE SUP LAND,10.0,24.0,41.856790413,-87.70842407100001,"(41.856790413, -87.708424071)",True,2016
2016-06-09 08:57:00,THEFT,RETAIL THEFT,16.0,41.0,41.977132771,-87.898623829,"(41.977132771, -87.898623829)",True,2016
2016-08-09 18:44:00,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,11.0,28.0,41.879813541,-87.72145967899999,"(41.879813541, -87.721459679)",True,2016
2016-02-28 02:37:00,BATTERY,SIMPLE,18.0,42.0,41.891135724,-87.628049777,"(41.891135724, -87.628049777)",True,2016
2016-11-16 16:00:00,THEFT,OVER $500,14.0,1.0,41.904329661999995,-87.667996915,"(41.904329662, -87.667996915)",False,2016
2016-03-26 02:05:00,THEFT,POCKET-PICKING,1.0,42.0,41.885495793000004,-87.618644375,"(41.885495793, -87.618644375)",False,2016
2016-05-29 04:30:00,CRIMINAL DAMAGE,TO PROPERTY,6.0,9.0,41.723025080999996,-87.606201795,"(41.723025081, -87.606201795)",False,2016
2016-12-31 02:29:00,ROBBERY,ARMED: HANDGUN,24.0,40.0,41.990526825,-87.687953046,"(41.990526825, -87.687953046)",False,2016
2016-09-27 20:15:00,THEFT,OVER $500,1.0,42.0,41.887519241999996,-87.62455292799999,"(41.887519242, -87.624552928)",False,2016
2016-10-06 13:00:00,ASSAULT,SIMPLE,5.0,9.0,41.69572968,-87.612239695,"(41.69572968, -87.612239695)",False,2016
2016-09-13 03:58:00,OTHER OFFENSE,TELEPHONE THREAT,4.0,7.0,41.72546159,-87.569336546,"(41.72546159, -87.569336546)",False,2016
2016-01-27 08:00:00,CRIMINAL DAMAGE,TO PROPERTY,9.0,11.0,41.808890757,-87.643940165,"(41.808890757, -87.643940165)",False,2016
2016-10-26 19:30:00,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,7.0,17.0,41.772292259000004,-87.657214289,"(41.772292259, -87.657214289)",True,2016
2016-10-08 18:30:00,BATTERY,DOMESTIC BATTERY SIMPLE,17.0,33.0,41.961911365,-87.709493728,"(41.961911365, -87.709493728)",False,2016
2016-02-27 21:00:00,THEFT,FROM BUILDING,18.0,42.0,41.893594981,-87.628118216,"(41.893594981, -87.628118216)",False,2016
2016-03-10 17:30:00,BATTERY,SIMPLE,11.0,27.0,41.899095201,-87.71797712600001,"(41.899095201, -87.717977126)",False,2016
2016-03-19 13:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,15.0,37.0,41.889732043,-87.760449353,"(41.889732043, -87.760449353)",False,2016
2016-10-03 07:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,6.0,18.0,41.738538346999995,-87.666783454,"(41.738538347, -87.666783454)",False,2016
2016-11-25 01:50:00,CRIMINAL DAMAGE,TO PROPERTY,22.0,34.0,41.682525534,-87.668957971,"(41.682525534, -87.668957971)",False,2016
2016-07-29 16:40:00,BATTERY,AGGRAVATED: OTHER DANG WEAPON,10.0,12.0,41.851383855,-87.700339309,"(41.851383855, -87.700339309)",False,2016
2016-09-01 19:50:00,PROSTITUTION,SOLICIT ON PUBLIC WAY,11.0,24.0,41.870014994,-87.738926756,"(41.870014994, -87.738926756)",True,2016
2016-06-03 00:01:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,16.0,41.0,41.981342739,-87.81294757799999,"(41.981342739, -87.812947578)",False,2016
2016-05-15 18:19:00,THEFT,OVER $500,8.0,18.0,41.749876545,-87.682838316,"(41.749876545, -87.682838316)",False,2016
2016-10-03 18:58:00,BATTERY,SIMPLE,8.0,14.0,41.811882738,-87.70783733200001,"(41.811882738, -87.707837332)",False,2016
2016-06-18 00:18:00,BATTERY,DOMESTIC BATTERY SIMPLE,14.0,26.0,41.904279559,-87.694450143,"(41.904279559, -87.694450143)",False,2016
2016-11-13 15:38:00,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,10.0,12.0,41.851006354,-87.69906572200001,"(41.851006354, -87.699065722)",False,2016
2016-06-18 20:38:00,HOMICIDE,FIRST DEGREE MURDER,6.0,17.0,41.755239122,-87.635630755,"(41.755239122, -87.635630755)",False,2016
2016-10-11 19:30:00,OTHER OFFENSE,PAROLE VIOLATION,25.0,37.0,41.902228801999996,-87.757601001,"(41.902228802, -87.757601001)",True,2016
2016-08-13 15:00:00,BATTERY,SIMPLE,8.0,15.0,41.781038582,-87.68681685799999,"(41.781038582, -87.686816858)",False,2016
2016-06-11 10:40:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,15.0,28.0,41.881716983000004,-87.75297460200001,"(41.881716983, -87.752974602)",True,2016
2016-04-03 08:20:00,ROBBERY,STRONGARM - NO WEAPON,5.0,34.0,41.702831085999996,-87.62577926600001,"(41.702831086, -87.625779266)",False,2016
2016-12-23 13:00:00,THEFT,$500 AND UNDER,24.0,49.0,42.005557044,-87.65982010100001,"(42.005557044, -87.659820101)",False,2016
2016-07-10 19:30:00,ASSAULT,SIMPLE,4.0,10.0,41.702756403,-87.564182005,"(41.702756403, -87.564182005)",False,2016
2016-08-28 12:09:00,WEAPONS VIOLATION,UNLAWFUL USE/SALE AIR RIFLE,5.0,9.0,41.669727559,-87.62600279600001,"(41.669727559, -87.626002796)",True,2016
2016-02-29 07:00:00,ASSAULT,SIMPLE,8.0,15.0,41.778661058000004,-87.68227253,"(41.778661058, -87.68227253)",False,2016
2016-05-26 23:27:00,BATTERY,AGGRAVATED: HANDGUN,5.0,9.0,41.707737824,-87.62353543399999,"(41.707737824, -87.623535434)",False,2016
2016-11-07 13:00:00,CRIMINAL DAMAGE,TO PROPERTY,2.0,3.0,41.815765746,-87.61976865700001,"(41.815765746, -87.619768657)",False,2016
2016-06-18 15:30:00,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,19.0,32.0,41.92600403,-87.66335474200001,"(41.92600403, -87.663354742)",False,2016
2016-10-05 19:35:00,BATTERY,DOMESTIC BATTERY SIMPLE,6.0,17.0,41.751220773,-87.637327066,"(41.751220773, -87.637327066)",False,2016
2016-01-31 21:40:00,BATTERY,AGGRAVATED: HANDGUN,25.0,29.0,41.912659331,-87.766361527,"(41.912659331, -87.766361527)",False,2016
2016-07-05 19:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,16.0,41.0,41.985412513,-87.883781339,"(41.985412513, -87.883781339)",True,2016
2016-10-21 06:35:00,ROBBERY,STRONGARM - NO WEAPON,12.0,26.0,41.898412305,-87.692958562,"(41.898412305, -87.692958562)",False,2016
2016-02-22 19:15:00,NARCOTICS,POSS: HEROIN(WHITE),11.0,28.0,41.878890608,-87.723877332,"(41.878890608, -87.723877332)",True,2016
2016-08-22 00:00:00,ASSAULT,AGGRAVATED: HANDGUN,7.0,17.0,41.762429559,-87.64296057899999,"(41.762429559, -87.642960579)",True,2016
2016-12-02 15:23:00,BATTERY,SIMPLE,7.0,16.0,41.777039931,-87.654429436,"(41.777039931, -87.654429436)",False,2016
2016-12-31 03:05:00,THEFT,OVER $500,10.0,22.0,41.844195804,-87.728709847,"(41.844195804, -87.728709847)",False,2016
2016-06-19 00:55:00,BATTERY,SIMPLE,11.0,28.0,41.869946398,-87.686131036,"(41.869946398, -87.686131036)",False,2016
2016-10-18 19:00:00,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,5.0,34.0,41.680854501999995,-87.631152416,"(41.680854502, -87.631152416)",False,2016
2016-08-04 09:00:00,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,20.0,47.0,41.972966305,-87.692782296,"(41.972966305, -87.692782296)",False,2016
2016-04-29 00:01:00,THEFT,OVER $500,6.0,6.0,41.755925565,-87.607776661,"(41.755925565, -87.607776661)",False,2016
2016-01-14 07:35:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,11.0,27.0,41.890664191,-87.72350466600001,"(41.890664191, -87.723504666)",True,2016
2016-06-04 02:54:00,CRIMINAL DAMAGE,TO VEHICLE,5.0,8.0,41.719232218,-87.59711658,"(41.719232218, -87.59711658)",False,2016
2016-06-09 12:00:00,BATTERY,SIMPLE,7.0,17.0,41.764995286,-87.658166965,"(41.764995286, -87.658166965)",False,2016
2016-01-23 12:00:00,BATTERY,SIMPLE,19.0,46.0,41.965410411,-87.65671321200001,"(41.965410411, -87.656713212)",False,2016
2016-07-31 16:15:00,THEFT,$500 AND UNDER,16.0,41.0,41.974581995,-87.80000625,"(41.974581995, -87.80000625)",False,2016
2016-07-05 02:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,5.0,21.0,41.719087373,-87.627388469,"(41.719087373, -87.627388469)",False,2016
2016-02-10 03:39:00,BATTERY,DOMESTIC BATTERY SIMPLE,15.0,29.0,41.899199074,-87.769195098,"(41.899199074, -87.769195098)",True,2016
2016-04-11 18:16:00,CRIMINAL DAMAGE,TO VEHICLE,12.0,2.0,41.88122646,-87.6824589,"(41.88122646, -87.6824589)",False,2016
2016-08-30 09:00:00,THEFT,$500 AND UNDER,6.0,8.0,41.748978737,-87.600269164,"(41.748978737, -87.600269164)",False,2016
2016-09-21 05:00:00,OTHER OFFENSE,OTHER VEHICLE OFFENSE,18.0,27.0,41.909168175,-87.64708709,"(41.909168175, -87.64708709)",False,2016
2016-03-27 18:30:00,MOTOR VEHICLE THEFT,AUTOMOBILE,17.0,33.0,41.963433489,-87.708316987,"(41.963433489, -87.708316987)",False,2016
2016-02-25 03:17:00,CRIMINAL TRESPASS,TO LAND,18.0,42.0,41.889453169,-87.62799483299999,"(41.889453169, -87.627994833)",True,2016
2016-08-03 07:00:00,BURGLARY,FORCIBLE ENTRY,8.0,13.0,41.776076238,-87.770088413,"(41.776076238, -87.770088413)",False,2016
2016-12-01 17:36:00,THEFT,$500 AND UNDER,7.0,16.0,41.777423832,-87.648368783,"(41.777423832, -87.648368783)",False,2016
2016-08-01 07:06:00,NARCOTICS,POSS: HEROIN(WHITE),11.0,24.0,41.871732887,-87.716547025,"(41.871732887, -87.716547025)",True,2016
2016-10-14 02:33:00,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,6.0,21.0,41.744887935,-87.66382292700001,"(41.744887935, -87.663822927)",False,2016
2016-09-16 20:00:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,22.0,34.0,41.699707863,-87.63698201,"(41.699707863, -87.63698201)",False,2016
2016-06-01 15:30:00,BATTERY,SIMPLE,12.0,2.0,41.878724477,-87.678250459,"(41.878724477, -87.678250459)",False,2016
2016-05-10 18:04:00,CRIMINAL DAMAGE,TO PROPERTY,4.0,10.0,41.727727762,-87.54687143700001,"(41.727727762, -87.546871437)",False,2016
2016-02-10 12:00:00,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,12.0,27.0,41.897951199,-87.663600295,"(41.897951199, -87.663600295)",False,2016
2016-06-27 22:59:00,OTHER OFFENSE,LICENSE VIOLATION,10.0,24.0,41.866235446,-87.72051714700001,"(41.866235446, -87.720517147)",True,2016
2016-10-30 09:00:00,MOTOR VEHICLE THEFT,AUTOMOBILE,22.0,34.0,41.689875043,-87.64108980799999,"(41.689875043, -87.641089808)",False,2016
2016-01-11 20:40:00,CRIMINAL DAMAGE,TO PROPERTY,3.0,5.0,41.774163226999995,-87.597276924,"(41.774163227, -87.597276924)",False,2016
2016-10-24 13:10:00,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,7.0,15.0,41.778867064,-87.672690379,"(41.778867064, -87.672690379)",True,2016
2016-03-17 15:00:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,11.0,28.0,41.878827508,-87.729073843,"(41.878827508, -87.729073843)",False,2016
2016-01-23 22:17:00,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,6.0,6.0,41.751119566999996,-87.614647172,"(41.751119567, -87.614647172)",True,2016
2016-07-25 09:00:00,THEFT,FROM BUILDING,12.0,27.0,41.892594954,-87.706466499,"(41.892594954, -87.706466499)",False,2016
2016-01-29 05:30:00,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,2.0,3.0,41.799580127,-87.61934678200001,"(41.799580127, -87.619346782)",False,2016
2016-12-27 12:00:00,DECEPTIVE PRACTICE,DECEPTIVE COLLECTION PRACTICES,16.0,36.0,41.942693689,-87.79343529299999,"(41.942693689, -87.793435293)",False,2016
2016-10-26 15:00:00,BURGLARY,UNLAWFUL ENTRY,8.0,18.0,41.76391735,-87.689338325,"(41.76391735, -87.689338325)",False,2016
2016-01-03 19:00:00,CRIMINAL DAMAGE,TO VEHICLE,18.0,43.0,41.915042916,-87.652046642,"(41.915042916, -87.652046642)",False,2016
2016-08-05 13:50:00,OTHER OFFENSE,TELEPHONE THREAT,5.0,9.0,41.65494367,-87.602302495,"(41.65494367, -87.602302495)",False,2016
2016-05-08 14:00:00,BATTERY,DOMESTIC BATTERY SIMPLE,25.0,37.0,41.920810216,-87.77317526200001,"(41.920810216, -87.773175262)",False,2016
2016-08-26 22:06:00,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,11.0,24.0,41.871588899,-87.71071422600001,"(41.871588899, -87.710714226)",True,2016
2016-01-28 11:52:00,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,18.0,42.0,41.899945921,-87.627798561,"(41.899945921, -87.627798561)",False,2016
2016-02-08 16:30:00,THEFT,$500 AND UNDER,17.0,39.0,41.974109664000004,-87.71106634700001,"(41.974109664, -87.711066347)",False,2016
2016-04-20 21:15:00,BATTERY,SIMPLE,15.0,28.0,41.894945698,-87.754893341,"(41.894945698, -87.754893341)",False,2016
2016-05-16 07:00:00,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,3.0,5.0,41.762357396,-87.59302442799999,"(41.762357396, -87.593024428)",False,2016
2016-07-02 14:49:00,BATTERY,DOMESTIC BATTERY SIMPLE,15.0,28.0,41.885734355,-87.763896747,"(41.885734355, -87.763896747)",False,2016
2016-06-27 14:45:00,CRIMINAL DAMAGE,TO VEHICLE,19.0,46.0,41.948394773000004,-87.645828402,"(41.948394773, -87.645828402)",False,2016
2016-05-30 18:55:00,THEFT,RETAIL THEFT,12.0,1.0,41.895896023,-87.677913394,"(41.895896023, -87.677913394)",False,2016
2016-07-07 04:36:00,THEFT,PURSE-SNATCHING,24.0,49.0,42.005011622,-87.660870765,"(42.005011622, -87.660870765)",False,2016
2016-05-05 16:23:00,CRIMINAL DAMAGE,TO VEHICLE,6.0,17.0,41.750111094,-87.636712395,"(41.750111094, -87.636712395)",True,2016
2016-09-28 17:35:00,BATTERY,SIMPLE,10.0,12.0,41.845853677,-87.69282601,"(41.845853677, -87.69282601)",False,2016
2016-08-18 15:30:00,BURGLARY,FORCIBLE ENTRY,5.0,34.0,41.680999011,-87.62875671799999,"(41.680999011, -87.628756718)",False,2016
2016-02-24 18:50:00,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,14.0,26.0,41.910668384000004,-87.71658013700001,"(41.910668384, -87.716580137)",False,2016
2016-02-23 23:55:00,BATTERY,SIMPLE,5.0,9.0,41.697478978,-87.615933095,"(41.697478978, -87.615933095)",False,2016
